gameid,blue_datacompleteness,blue_url,league,blue_year,blue_split,blue_playoffs,date,blue_game,blue_patch,blue_participantid,blue_side,blue_position,blue_playername,blue_playerid,blue_teamname,blue_teamid,blue_champion,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,blue_gamelength,blue_result,blue_kills,blue_deaths,blue_assists,blue_teamkills,blue_teamdeaths,blue_doublekills,blue_triplekills,blue_quadrakills,blue_pentakills,blue_firstblood,blue_firstbloodkill,blue_firstbloodassist,blue_firstbloodvictim,blue_team kpm,blue_ckpm,blue_firstdragon,blue_dragons,blue_opp_dragons,blue_elementaldrakes,blue_opp_elementaldrakes,blue_infernals,blue_mountains,blue_clouds,blue_oceans,blue_chemtechs,blue_hextechs,blue_dragons (type unknown),blue_elders,blue_opp_elders,blue_firstherald,blue_heralds,blue_opp_heralds,blue_void_grubs,blue_opp_void_grubs,blue_firstbaron,blue_barons,blue_opp_barons,blue_atakhans,blue_opp_atakhans,blue_firsttower,blue_towers,blue_opp_towers,blue_firstmidtower,blue_firsttothreetowers,blue_turretplates,blue_opp_turretplates,blue_inhibitors,blue_opp_inhibitors,blue_damagetochampions,blue_dpm,blue_damageshare,blue_damagetakenperminute,blue_damagemitigatedperminute,blue_damagetotowers,blue_wardsplaced,blue_wpm,blue_wardskilled,blue_wcpm,blue_controlwardsbought,blue_visionscore,blue_vspm,blue_totalgold,blue_earnedgold,blue_earned gpm,blue_earnedgoldshare,blue_goldspent,blue_gspd,blue_gpr,blue_total cs,blue_minionkills,blue_monsterkills,blue_monsterkillsownjungle,blue_monsterkillsenemyjungle,blue_cspm,blue_goldat10,blue_xpat10,blue_csat10,blue_opp_goldat10,blue_opp_xpat10,blue_opp_csat10,blue_golddiffat10,blue_xpdiffat10,blue_csdiffat10,blue_killsat10,blue_assistsat10,blue_deathsat10,blue_opp_killsat10,blue_opp_assistsat10,blue_opp_deathsat10,blue_goldat15,blue_xpat15,blue_csat15,blue_opp_goldat15,blue_opp_xpat15,blue_opp_csat15,blue_golddiffat15,blue_xpdiffat15,blue_csdiffat15,blue_killsat15,blue_assistsat15,blue_deathsat15,blue_opp_killsat15,blue_opp_assistsat15,blue_opp_deathsat15,blue_goldat20,blue_xpat20,blue_csat20,blue_opp_goldat20,blue_opp_xpat20,blue_opp_csat20,blue_golddiffat20,blue_xpdiffat20,blue_csdiffat20,blue_killsat20,blue_assistsat20,blue_deathsat20,blue_opp_killsat20,blue_opp_assistsat20,blue_opp_deathsat20,blue_goldat25,blue_xpat25,blue_csat25,blue_opp_goldat25,blue_opp_xpat25,blue_opp_csat25,blue_golddiffat25,blue_xpdiffat25,blue_csdiffat25,blue_killsat25,blue_assistsat25,blue_deathsat25,blue_opp_killsat25,blue_opp_assistsat25,blue_opp_deathsat25,red_datacompleteness,red_url,red_year,red_split,red_playoffs,red_game,red_patch,red_participantid,red_side,red_position,red_playername,red_playerid,red_teamname,red_teamid,red_champion,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,red_gamelength,red_result,red_kills,red_deaths,red_assists,red_teamkills,red_teamdeaths,red_doublekills,red_triplekills,red_quadrakills,red_pentakills,red_firstblood,red_firstbloodkill,red_firstbloodassist,red_firstbloodvictim,red_team kpm,red_ckpm,red_firstdragon,red_dragons,red_opp_dragons,red_elementaldrakes,red_opp_elementaldrakes,red_infernals,red_mountains,red_clouds,red_oceans,red_chemtechs,red_hextechs,red_dragons (type unknown),red_elders,red_opp_elders,red_firstherald,red_heralds,red_opp_heralds,red_void_grubs,red_opp_void_grubs,red_firstbaron,red_barons,red_opp_barons,red_atakhans,red_opp_atakhans,red_firsttower,red_towers,red_opp_towers,red_firstmidtower,red_firsttothreetowers,red_turretplates,red_opp_turretplates,red_inhibitors,red_opp_inhibitors,red_damagetochampions,red_dpm,red_damageshare,red_damagetakenperminute,red_damagemitigatedperminute,red_damagetotowers,red_wardsplaced,red_wpm,red_wardskilled,red_wcpm,red_controlwardsbought,red_visionscore,red_vspm,red_totalgold,red_earnedgold,red_earned gpm,red_earnedgoldshare,red_goldspent,red_gspd,red_gpr,red_total cs,red_minionkills,red_monsterkills,red_monsterkillsownjungle,red_monsterkillsenemyjungle,red_cspm,red_goldat10,red_xpat10,red_csat10,red_opp_goldat10,red_opp_xpat10,red_opp_csat10,red_golddiffat10,red_xpdiffat10,red_csdiffat10,red_killsat10,red_assistsat10,red_deathsat10,red_opp_killsat10,red_opp_assistsat10,red_opp_deathsat10,red_goldat15,red_xpat15,red_csat15,red_opp_goldat15,red_opp_xpat15,red_opp_csat15,red_golddiffat15,red_xpdiffat15,red_csdiffat15,red_killsat15,red_assistsat15,red_deathsat15,red_opp_killsat15,red_opp_assistsat15,red_opp_deathsat15,red_goldat20,red_xpat20,red_csat20,red_opp_goldat20,red_opp_xpat20,red_opp_csat20,red_golddiffat20,red_xpdiffat20,red_csdiffat20,red_killsat20,red_assistsat20,red_deathsat20,red_opp_killsat20,red_opp_assistsat20,red_opp_deathsat20,red_goldat25,red_xpat25,red_csat25,red_opp_goldat25,red_opp_xpat25,red_opp_csat25,red_golddiffat25,red_xpdiffat25,red_csdiffat25,red_killsat25,red_assistsat25,red_deathsat25,red_opp_killsat25,red_opp_assistsat25,red_opp_deathsat25
12643-12643_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12643,LPL,2025,Split 3,0,2025-08-27 12:12:26,2,15.16,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Skarner,Neeko,Trundle,Ezreal,Kai'Sa,Gwen,Jarvan IV,Taliyah,Xayah,Rakan,1858,0,14,31,41,14,31,,,,,0.0,,,,0.4521,1.4532,0.0,0.0,4.0,,,,,,,,,0.0,,,,1.0,0.0,3.0,0.0,,0.0,1.0,,,0.0,3.0,7.0,,,,,0.0,1.0,85045,2746.3402,,4385.4252,,,118,3.8105,53,1.7115,43,280,9.042,53100,32770,1058.2347,,48014,-0.202699,,,,168,129.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12643,2025,Split 3,0,2,15.16,200,Red,team,,,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,,Azir,Pantheon,Yunara,Renata Glasc,Alistar,Xin Zhao,Jayce,Akali,Lucian,Leona,1858,1,31,14,71,31,14,,,,,1.0,,,,1.0011,1.4532,1.0,4.0,0.0,,,,,,,,,4.0,,,,0.0,1.0,0.0,3.0,,1.0,0.0,,,1.0,7.0,3.0,,,,,1.0,0.0,115981,3745.3498,,4365.9849,,,117,3.7783,69,2.2282,48,323,10.4306,65015,44685,1443.0032,,58844,0.202699,,,,213,137.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12637-12637_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12637,LPL,2025,Split 3,0,2025-08-24 11:22:32,1,15.16,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Taliyah,Annie,Poppy,Wukong,Jarvan IV,Pantheon,Orianna,Aurora,Xayah,Rakan,1904,1,17,11,49,17,11,,,,,0.0,,,,0.5357,0.8824,0.0,1.0,4.0,,,,,,,,,1.0,,,,1.0,0.0,3.0,0.0,,1.0,0.0,,,0.0,9.0,2.0,,,,,2.0,0.0,103303,3255.3466,,3581.0924,,,120,3.7815,63,1.9853,44,313,9.8634,64151,43352,1366.1345,,57877,0.13397,,,,234,169.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12637,2025,Split 3,0,1,15.16,200,Red,team,,,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,,Azir,Varus,Neeko,Kai'Sa,Corki,Rumble,Yunara,Galio,Alistar,Trundle,1904,0,11,17,34,11,17,,,,,1.0,,,,0.3466,0.8824,1.0,4.0,1.0,,,,,,,,,4.0,,,,0.0,1.0,0.0,3.0,,0.0,1.0,,,1.0,2.0,9.0,,,,,0.0,2.0,76829,2421.0819,,4295.1996,,,125,3.9391,55,1.7332,50,296,9.3277,54421,33622,1059.5168,,50610,-0.13397,,,,200,154.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12626-12626_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12626,LPL,2025,Split 3,0,2025-08-19 12:15:27,2,15.16,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Trundle,Gwen,Yunara,Aurora,Taliyah,Sion,Orianna,Vi,Kalista,Renata Glasc,1739,0,15,30,41,15,30,,,,,1.0,,,,0.5175,1.5526,0.0,0.0,4.0,,,,,,,,,0.0,,,,1.0,0.0,1.0,2.0,,0.0,1.0,,,0.0,2.0,8.0,,,,,0.0,1.0,85362,2945.2099,,4720.7476,,,103,3.5538,44,1.5181,41,260,8.9707,51654,32538,1122.6452,,47975,-0.115246,,,,185,142.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12626,2025,Split 3,0,2,15.16,200,Red,team,,,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,,Pantheon,Varus,Azir,Poppy,Sivir,Corki,Aatrox,Rell,Akali,Jarvan IV,1739,1,30,15,85,30,15,,,,,0.0,,,,1.0351,1.5526,1.0,4.0,0.0,,,,,,,,,4.0,,,,0.0,1.0,2.0,1.0,,1.0,0.0,,,1.0,8.0,2.0,,,,,1.0,0.0,110299,3805.6009,,3833.548,,,105,3.6228,51,1.7596,39,266,9.1777,61125,42009,1449.4192,,53842,0.115246,,,,180,109.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12626-12626_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12626,LPL,2025,Split 3,0,2025-08-19 11:17:13,1,15.16,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Trundle,Gwen,Yunara,Xayah,Sivir,Rumble,Xin Zhao,Galio,Rakan,Senna,1785,0,9,18,30,9,18,,,,,0.0,,,,0.3025,0.9076,1.0,1.0,3.0,,,,,,,,,1.0,,,,1.0,0.0,0.0,3.0,,0.0,1.0,,,0.0,3.0,7.0,,,,,0.0,1.0,82244,2764.5042,,4494.8235,,,101,3.395,34,1.1429,46,232,7.7983,50538,30953,1040.437,,48840,0.00223427,,,,216,160.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12626,2025,Split 3,0,1,15.16,200,Red,team,,,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,,Pantheon,Varus,Azir,Braum,Corki,Annie,Wukong,Ornn,Kai'Sa,Alistar,1785,1,18,9,46,18,9,,,,,1.0,,,,0.605,0.9076,0.0,3.0,1.0,,,,,,,,,3.0,,,,0.0,1.0,3.0,0.0,,1.0,0.0,,,1.0,7.0,3.0,,,,,1.0,0.0,96256,3235.4958,,4007.1933,,,93,3.1261,50,1.6807,34,265,8.9076,57335,37750,1268.9076,,48731,-0.00223427,,,,178,130.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12616-12616_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12616,LPL,2025,Split 3,0,2025-08-15 09:18:00,1,15.15,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Aurora,Trundle,Kai'Sa,Senna,Xayah,Pantheon,Rumble,Azir,Sivir,Alistar,1588,1,18,9,46,18,9,,,,,1.0,,,,0.6801,1.0202,0.0,2.0,1.0,,,,,,,,,2.0,,,,1.0,0.0,3.0,0.0,,0.0,0.0,,,1.0,7.0,0.0,,,,,1.0,0.0,61058,2306.9773,,2880.3401,,,96,3.6272,40,1.5113,40,232,8.7657,53791,36215,1368.3249,,44945,0.0585103,,,,214,142.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12616,2025,Split 3,0,1,15.15,200,Red,team,,,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,,Yunara,Varus,Orianna,Poppy,Lucian,Taliyah,Gwen,Skarner,Rell,Jhin,1588,0,9,18,26,9,18,,,,,0.0,,,,0.3401,1.0202,1.0,1.0,2.0,,,,,,,,,1.0,,,,0.0,1.0,0.0,3.0,,0.0,0.0,,,0.0,0.0,7.0,,,,,0.0,1.0,43449,1641.6499,,3118.6776,,,86,3.2494,51,1.927,33,238,8.9924,44818,27242,1029.2947,,42390,-0.0585103,,,,152,125.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12613-12613_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12613,LPL,2025,Split 3,0,2025-08-13 12:56:33,2,15.15,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Gwen,Rakan,Annie,Galio,Sylas,Pantheon,Sion,Orianna,Sivir,Alistar,1734,1,20,13,42,20,13,,,,,0.0,,,,0.692,1.1419,1.0,2.0,1.0,,,,,,,,,2.0,,,,0.0,1.0,0.0,3.0,,1.0,0.0,,,0.0,8.0,5.0,,,,,1.0,0.0,91546,3167.6817,,4340.2768,,,105,3.6332,31,1.0727,38,207,7.1626,60033,40968,1417.5779,,51304,-0.0162976,,,,199,127.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12613,2025,Split 3,0,2,15.15,200,Red,team,,,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,,Yunara,Varus,Azir,Corki,Renata Glasc,Lucian,Braum,Yorick,Viktor,Xin Zhao,1734,0,13,20,32,13,20,,,,,1.0,,,,0.4498,1.1419,0.0,1.0,2.0,,,,,,,,,1.0,,,,1.0,0.0,3.0,0.0,,0.0,1.0,,,1.0,5.0,8.0,,,,,0.0,1.0,91516,3166.6436,,4467.2318,,,89,3.0796,43,1.4879,35,231,7.9931,54182,35117,1215.1211,,52147,0.0162976,,,,188,109.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12602-12602_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12602,LPL,2025,Split 3,0,2025-08-08 13:18:58,2,15.15,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Gwen,Kai'Sa,Vi,Neeko,Annie,Sion,Sivir,Poppy,Viktor,Rell,2013,1,18,10,49,18,10,,,,,1.0,,,,0.5365,0.8346,0.0,3.0,1.0,,,,,,,,,3.0,,,,1.0,0.0,1.0,2.0,,1.0,0.0,,,0.0,10.0,4.0,,,,,1.0,0.0,99847,2976.0656,,2916.6915,,,140,4.1729,49,1.4605,59,309,9.2101,68930,47019,1401.4605,,61623,0.0648199,,,,241,160.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12602,2025,Split 3,0,2,15.15,200,Red,team,,,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,,Varus,Pantheon,Taliyah,Xin Zhao,Skarner,Wukong,Corki,Aatrox,Aurora,Nautilus,2013,0,10,19,20,10,19,,,,,0.0,,,,0.2981,0.8346,1.0,1.0,3.0,,,,,,,,,1.0,,,,0.0,1.0,2.0,1.0,,0.0,1.0,,,1.0,4.0,10.0,,,,,0.0,1.0,70666,2106.2891,,3902.2653,,,109,3.2489,58,1.7288,47,281,8.3756,59641,37730,1124.5902,,57754,-0.0648199,,,,209,171.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12602-12602_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=12602,LPL,2025,Split 3,0,2025-08-08 12:27:53,1,15.15,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Gwen,Taliyah,Rell,Vi,Wukong,Trundle,Ornn,Azir,Lucian,Braum,1685,0,3,21,8,3,21,,,,,0.0,,,,0.1068,0.8546,1.0,1.0,3.0,,,,,,,,,1.0,,,,0.0,1.0,3.0,0.0,,0.0,1.0,,,0.0,2.0,8.0,,,,,0.0,1.0,60283,2146.5757,,3712.7359,,,104,3.7033,43,1.5312,38,226,8.0475,43704,25139,895.1573,,42626,-0.14377,,,,179,130.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12602,2025,Split 3,0,1,15.15,200,Red,team,,,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,,Varus,Poppy,Pantheon,Ezreal,Rakan,Yunara,Rumble,Alistar,Yone,Sejuani,1685,1,21,3,73,21,3,,,,,1.0,,,,0.7478,0.8546,0.0,3.0,1.0,,,,,,,,,3.0,,,,1.0,0.0,0.0,3.0,,1.0,0.0,,,1.0,8.0,2.0,,,,,1.0,0.0,74790,2663.1454,,3423.3472,,,97,3.454,51,1.816,37,240,8.546,57425,38860,1383.7389,,49229,0.14377,,,,199,149.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12598-12598_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12598,LPL,2025,Split 3,0,2025-08-06 13:18:33,2,15.15,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Rakan,Gwen,Vi,Neeko,Renata Glasc,Aurora,Lucian,Braum,Skarner,Ambessa,2487,0,21,22,61,21,22,,,,,0.0,,,,0.5066,1.0374,0.0,2.0,4.0,,,,,,,,,2.0,,,,0.0,1.0,2.0,1.0,,0.0,2.0,,,0.0,6.0,7.0,,,,,1.0,1.0,118332,2854.813,,4419.0591,,,147,3.5464,78,1.8818,61,408,9.8432,72300,45555,1099.035,,67870,-0.0342635,,,,280,215.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12598,2025,Split 3,0,2,15.15,200,Red,team,,,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,,Varus,Azir,Trundle,Xin Zhao,Galio,Annie,Jarvan IV,Rumble,Senna,Alistar,2487,1,22,21,62,22,21,,,,,1.0,,,,0.5308,1.0374,1.0,4.0,2.0,,,,,,,,,4.0,,,,1.0,0.0,1.0,2.0,,2.0,0.0,,,1.0,7.0,6.0,,,,,1.0,1.0,137471,3316.5501,,3742.509,,,141,3.4017,69,1.6647,47,359,8.661,77266,50521,1218.842,,70236,0.0342635,,,,242,166.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12596-12596_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=12596,LPL,2025,Split 3,0,2025-08-05 13:20:13,2,15.15,100,Blue,team,,,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,,Vi,Yone,Taliyah,Lucian,Renata Glasc,Sion,Wukong,Kai'Sa,Nautilus,Orianna,1714,1,27,5,64,27,5,,,,,1.0,,,,0.9452,1.1202,1.0,3.0,1.0,,,,,,,,,3.0,,,,1.0,0.0,3.0,0.0,,1.0,0.0,,,1.0,8.0,1.0,,,,,1.0,0.0,109070,3818.0863,,3839.1949,,,105,3.6756,54,1.8903,43,274,9.5916,60725,41864,1465.4842,,53018,0.247764,,,,217,135.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,https://lpl.qq.com/es/stats.shtml?bmid=12596,2025,Split 3,0,2,15.15,200,Red,team,,,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,,Poppy,Trundle,Varus,Neeko,Sylas,Xin Zhao,Viktor,Cho'Gath,Alistar,Sivir,1714,0,5,27,15,5,27,,,,,0.0,,,,0.175,1.1202,0.0,1.0,3.0,,,,,,,,,1.0,,,,0.0,1.0,0.0,3.0,,0.0,1.0,,,0.0,1.0,8.0,,,,,0.0,1.0,74469,2606.8495,,4789.7433,,,103,3.6056,34,1.1902,35,217,7.5963,43862,25001,875.1809,,41330,-0.247764,,,,160,134.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
